                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1578,                 1.9081,                 1.2178,                0.44037,                0.56218,                0.52601,                0.34244,                 1.1969,                 2.5672,                 1.5416,               0.008878,               0.008878,               0.008878
                     36,                 1.1961,                 1.9173,                 1.2424,                 0.3888,                0.49286,                0.56387,                0.33617,                 1.2214,                  2.384,                  1.609,               0.008845,               0.008845,               0.008845
                     37,                  1.174,                  1.895,                 1.2532,                0.47859,                0.79075,                0.71949,                0.51303,                0.99912,                 1.8695,                 1.3976,               0.008812,               0.008812,               0.008812
                     38,                 1.1632,                 1.9247,                 1.2529,                0.47343,                0.73812,                0.68129,                0.50321,                 0.9919,                 1.8522,                 1.3784,               0.008779,               0.008779,               0.008779
                     39,                 1.1786,                 1.9606,                 1.2532,                0.61045,                0.70469,                0.68977,                0.51073,                0.98339,                 2.1298,                 1.3932,               0.008746,               0.008746,               0.008746
                     40,                 1.1208,                 1.8484,                 1.2159,                0.47106,                0.72949,                  0.587,                0.36039,                 1.0151,                 2.7422,                 1.3865,               0.008713,               0.008713,               0.008713
                     41,                 1.1768,                 1.8308,                 1.2397,                0.48376,                0.78774,                0.62341,                0.42357,                0.98864,                 2.4071,                 1.3873,                0.00868,                0.00868,                0.00868
                     42,                 1.1253,                 1.7727,                  1.212,                 0.4336,                0.72978,                0.66229,                0.45003,                0.95659,                 2.2559,                 1.3438,               0.008647,               0.008647,               0.008647
                     43,                 1.1787,                 1.7866,                  1.257,                0.54351,                0.70785,                 0.7378,                0.51231,                0.92676,                 2.2861,                 1.3343,               0.008614,               0.008614,               0.008614
                     44,                 1.1646,                 1.8408,                 1.2257,                0.61391,                0.72412,                0.74483,                0.46228,                 1.0287,                 2.2028,                 1.4388,               0.008581,               0.008581,               0.008581
                     45,                 1.1099,                 1.7739,                 1.2147,                0.54873,                0.71635,                0.67704,                0.46204,                 1.0188,                 2.3703,                 1.4413,               0.008548,               0.008548,               0.008548
                     46,                 1.0928,                 1.7409,                 1.1911,                0.73511,                0.55534,                0.69814,                0.50497,                0.98191,                 2.3313,                 1.3887,               0.008515,               0.008515,               0.008515
                     47,                   1.09,                 1.7124,                 1.2073,                0.67446,                0.64501,                0.76256,                0.50255,                 1.0669,                 2.3696,                 1.4582,               0.008482,               0.008482,               0.008482
                     48,                 1.1065,                 1.7281,                 1.1973,                 0.6717,                0.61138,                0.76895,                0.46984,                 1.0862,                 2.1115,                 1.4772,               0.008449,               0.008449,               0.008449
                     49,                 1.1638,                 1.6831,                 1.1893,                0.66298,                0.48435,                0.62961,                0.40212,                 1.0877,                 2.5962,                 1.4604,               0.008416,               0.008416,               0.008416
                     50,                 1.1595,                 1.7162,                 1.2125,                0.51629,                0.67503,                0.74258,                0.44198,                 1.1457,                 2.4479,                 1.5137,               0.008383,               0.008383,               0.008383
                     51,                 1.1167,                 1.6781,                 1.2205,                0.73138,                0.79296,                 0.8198,                0.51308,                 1.1122,                 2.0327,                 1.5288,                0.00835,                0.00835,                0.00835
                     52,                 1.0926,                  1.677,                 1.2128,                 0.7405,                0.60869,                0.74887,                0.47839,                0.98711,                 2.0998,                 1.4533,               0.008317,               0.008317,               0.008317
                     53,                 1.0939,                   1.69,                 1.1973,                0.64811,                0.68847,                0.78667,                0.55766,                 0.9592,                 2.1687,                 1.4511,               0.008284,               0.008284,               0.008284
                     54,                 1.1039,                 1.6396,                  1.208,                0.58192,                0.66493,                0.72788,                0.49566,                0.99681,                 2.2586,                 1.4795,               0.008251,               0.008251,               0.008251
                     55,                 1.1305,                 1.7028,                 1.2234,                0.53741,                0.50378,                0.62015,                0.36065,                 1.1465,                 2.1362,                 1.5837,               0.008218,               0.008218,               0.008218
                     56,                 1.0693,                  1.605,                 1.1979,                0.69258,                0.57913,                0.71492,                0.51141,                0.96125,                 1.9689,                 1.3491,               0.008185,               0.008185,               0.008185
                     57,                 1.1082,                 1.6302,                 1.2212,                0.47142,                0.75588,                0.69956,                0.52323,                0.98313,                 2.0849,                 1.3814,               0.008152,               0.008152,               0.008152
                     58,                 1.0608,                 1.6064,                 1.1708,                0.70985,                0.63565,                0.72143,                0.50164,                 1.0549,                 2.3964,                 1.3967,               0.008119,               0.008119,               0.008119
                     59,                 1.0428,                 1.5562,                 1.1852,                0.58073,                0.74855,                0.76921,                0.54275,                 1.0086,                 1.8006,                 1.4237,               0.008086,               0.008086,               0.008086
                     60,                 1.0934,                 1.6099,                 1.1834,                 0.6334,                0.67664,                0.75833,                0.53194,                 1.0037,                 1.7058,                 1.4238,               0.008053,               0.008053,               0.008053
                     61,                 1.0839,                  1.529,                 1.1909,                 0.5225,                0.77619,                0.75842,                0.50539,                  1.033,                 1.7341,                 1.4549,                0.00802,                0.00802,                0.00802
                     62,                 1.0521,                 1.5177,                 1.1548,                0.70446,                0.62148,                0.73248,                0.50244,                 1.0284,                 1.8528,                   1.45,               0.007987,               0.007987,               0.007987
                     63,                 1.0146,                 1.5056,                 1.1658,                0.67639,                0.74028,                0.73751,                 0.5066,                 1.0562,                   1.78,                 1.5032,               0.007954,               0.007954,               0.007954
                     64,                 1.0574,                 1.4961,                 1.1605,                0.74387,                0.57096,                0.70274,                0.48112,                 1.0167,                 2.0835,                 1.4349,               0.007921,               0.007921,               0.007921
                     65,                 1.0668,                 1.5312,                 1.1878,                0.80603,                0.69906,                0.80982,                0.55013,                  1.108,                 1.8054,                  1.522,               0.007888,               0.007888,               0.007888
                     66,                 1.0812,                 1.5452,                 1.1673,                0.81508,                0.65867,                0.77023,                0.55342,                 1.0488,                 1.6536,                 1.4894,               0.007855,               0.007855,               0.007855
                     67,                 1.0601,                  1.558,                 1.1842,                0.48972,                0.73721,                0.74338,                0.55803,                 1.0016,                 1.5445,                 1.4003,               0.007822,               0.007822,               0.007822
                     68,                 1.0036,                   1.47,                 1.1503,                0.63931,                0.76292,                0.79757,                0.57143,                0.99388,                  1.628,                 1.3712,               0.007789,               0.007789,               0.007789
                     69,                 1.0073,                 1.4174,                 1.1389,                0.71332,                 0.7951,                0.84482,                0.63711,                0.92787,                 1.5776,                  1.288,               0.007756,               0.007756,               0.007756
                     70,                0.98783,                 1.4439,                 1.1542,                0.68326,                 0.7723,                0.84554,                0.63341,                0.90271,                 1.4224,                  1.271,               0.007723,               0.007723,               0.007723
                     71,                 1.0253,                 1.4512,                 1.1384,                0.71865,                0.75952,                0.81366,                0.58774,                 1.0197,                 1.6017,                 1.3972,                0.00769,                0.00769,                0.00769
                     72,                  1.017,                  1.438,                  1.143,                0.64647,                0.63518,                0.73123,                0.46854,                 1.0994,                 2.1598,                  1.528,               0.007657,               0.007657,               0.007657
                     73,                0.97348,                 1.4137,                 1.1343,                0.87452,                 0.6297,                0.79396,                0.52161,                0.95967,                 1.7169,                 1.4497,               0.007624,               0.007624,               0.007624
                     74,                 1.0306,                 1.5043,                 1.1548,                0.77403,                0.76766,                0.84317,                 0.6025,                0.94934,                 1.6474,                 1.3799,               0.007591,               0.007591,               0.007591
                     75,                0.95105,                 1.3223,                 1.1293,                0.69721,                0.64745,                 0.7697,                0.55646,                0.93235,                 1.7453,                 1.4037,               0.007558,               0.007558,               0.007558
                     76,                0.98816,                 1.3961,                 1.1252,                0.81059,                0.62747,                0.77094,                0.52288,                0.98351,                 1.7311,                 1.3881,               0.007525,               0.007525,               0.007525
